"Drug Name","Active Ingredient","Application Number","Application Type","Supplement Date","Database Updated","Link"
"ABSTRAL","FENTANYL CITRATE","022510","NDA","10/07/2019","10/14/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=768"
"ACCRETROPIN","SOMATROPIN RECOMBINANT","021538","BLA","12/13/2016","12/20/2016","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=592"
"ACCRUFER","FERRIC MALTOL","212320","NDA","02/16/2022","02/18/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2585"
"ACCUPRIL","QUINAPRIL HYDROCHLORIDE","019885","NDA","04/26/2017","01/04/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=842"
"ACCURETIC","HYDROCHLOROTHIAZIDE; QUINAPRIL HYDROCHLORIDE","020125","NDA","02/19/2021","02/22/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1037"
"ACEON","PERINDOPRIL ERBUMINE","020184","NDA","09/29/2017","10/03/2017","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1293"
"ACETADOTE","ACETYLCYSTEINE","021539","NDA","11/26/2024","11/27/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=315"
"ACETAMINOPHEN","ACETAMINOPHEN","204767","NDA","11/13/2020","11/19/2020","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2356"
"ACIPHEX","RABEPRAZOLE SODIUM","020973","NDA","07/18/2023","07/20/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=120"
"ACIPHEX SPRINKLE","RABEPRAZOLE SODIUM","204736","NDA","11/27/2020","12/01/2020","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=121"
"ACTEMRA","TOCILIZUMAB","125276","BLA","09/20/2024","09/24/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=440"
"ACTEMRA","TOCILIZUMAB","125472","BLA","09/20/2024","09/24/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=441"
"ACTHAR GEL","CORTICOTROPIN","008372","NDA","02/29/2024","03/01/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2548"
"ACTICLATE","DOXYCYCLINE HYCLATE","205931","NDA","12/26/2019","01/03/2020","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1376"
"ACTICLATE CAP","DOXYCYCLINE HYCLATE","208253","NDA","12/26/2019","01/03/2020","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1377"
"ACTIGALL","URSODIOL","019594","NDA","07/19/2023","07/21/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2820"
"ACTIQ","FENTANYL CITRATE","020747","NDA","12/15/2023","12/18/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=778"
"ACTIVASE","ALTEPLASE","103172","BLA","02/28/2018","05/10/2018","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1124"
"ACTIVELLA","ESTRADIOL; NORETHINDRONE ACETATE","020907","NDA","02/15/2024","02/20/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1355"
"ACTONEL","RISEDRONATE SODIUM","020835","NDA","11/05/2019","11/13/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2104"
"ACTOPLUS MET","METFORMIN HYDROCHLORIDE; PIOGLITAZONE HYDROCHLORIDE","021842","NDA","06/28/2024","07/02/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=587"
"ACTOPLUS MET XR","METFORMIN HYDROCHLORIDE; PIOGLITAZONE HYDROCHLORIDE","022024","NDA","12/21/2017","12/26/2017","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=588"
"ACTOS","PIOGLITAZONE HYDROCHLORIDE","021073","NDA","12/21/2017","12/26/2017","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=586"
"ACULAR LS","KETOROLAC TROMETHAMINE","021528","NDA","03/05/2021","03/10/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=252"
"ACUVAIL","KETOROLAC TROMETHAMINE","022427","NDA","05/24/2024","05/29/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2961"
"ACZONE","DAPSONE","021794","NDA","05/18/2018","05/22/2018","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1577"
"ACZONE","DAPSONE","207154","NDA","09/10/2019","09/13/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1578"
"ADAKVEO","CRIZANLIZUMAB-TMCA","761128","BLA","06/26/2024","07/03/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2508"
"ADASUVE","LOXAPINE","022549","NDA","10/27/2021","11/01/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=446"
"ADCETRIS","BRENTUXIMAB VEDOTIN","125388","BLA","06/14/2023","06/16/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=81"
"ADCIRCA","TADALAFIL","022332","NDA","09/15/2020","09/21/2020","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1051"
"ADDERALL 10","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","011522","NDA","10/13/2023","10/17/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=743"
"ADDERALL 12.5","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","011522","NDA","10/13/2023","10/17/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=744"
"ADDERALL 15","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","011522","NDA","10/13/2023","10/17/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=745"
"ADDERALL 20","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","011522","NDA","10/13/2023","10/17/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=747"
"ADDERALL 30","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","011522","NDA","10/13/2023","10/17/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=748"
"ADDERALL 5","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","011522","NDA","10/13/2023","10/17/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=749"
"ADDERALL 7.5","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","011522","NDA","10/13/2023","10/17/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=751"
"ADDERALL XR 10","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","021303","NDA","10/13/2023","10/17/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=733"
"ADDYI","FLIBANSERIN","022526","NDA","09/29/2021","10/01/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2085"
"ADEMPAS","RIOCIGUAT","204819","NDA","09/10/2021","09/15/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=797"
"ADHANSIA XR","METHYLPHENIDATE HYDROCHLORIDE","212038","NDA","06/25/2021","06/29/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1998"
"ADLYXIN","LIXISENATIDE","208471","BLA","11/01/2024","11/05/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2517"
"ADMELOG","INSULIN LISPRO","209196","BLA","08/31/2023","09/06/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1743"
"ADMELOG SOLOSTAR","INSULIN LISPRO","209196","BLA","11/15/2019","11/21/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2118"
"ADRENACLICK","EPINEPHRINE","020800","NDA","02/04/2021","02/09/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=385"
"ADRENALIN","EPINEPHRINE","204200","NDA","01/29/2019","02/04/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=218"
"ADRENALIN","EPINEPHRINE","204640","NDA","01/29/2019","02/04/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=219"
"ADREVIEW","IOBENGUANE SULFATE I-123","022290","NDA","03/05/2020","03/09/2020","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2209"
"ADUHELM","ADUCANUMAB-AVWA","761178","BLA","08/30/2023","09/06/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2616"
"ADVAIR DISKUS 100/50","FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE","021077","NDA","01/07/2019","01/08/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=877"
"ADVAIR DISKUS 250/50","FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE","021077","NDA","01/07/2019","01/08/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=878"
"ADVAIR DISKUS 500/50","FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE","021077","NDA","01/07/2019","01/08/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=879"
"ADVAIR HFA","FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE","021254","NDA","01/07/2019","01/08/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=876"
"ADVIL","IBUPROFEN","018989","NDA","12/14/2021","12/16/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1243"
"ADVIL","IBUPROFEN SODIUM","201803","NDA","02/08/2022","02/10/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1104"
"ADVIL ALLERGY AND CONGESTION RELIEF","CHLORPHENIRAMINE MALEATE; IBUPROFEN; PHENYLEPHRINE HYDROCHLORIDE","022113","NDA","11/23/2021","11/30/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=928"
"ADVIL ALLERGY SINUS","CHLORPHENIRAMINE MALEATE; IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE","021441","NDA","11/23/2021","11/30/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1028"
"ADVIL COLD AND SINUS","IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE","019771","NDA","11/19/2021","11/24/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=918"
"ADVIL COLD AND SINUS","IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE","021374","NDA","11/19/2021","11/24/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=932"
"ADVIL CONGESTION RELIEF","IBUPROFEN; PHENYLEPHRINE HYDROCHLORIDE","022565","NDA","11/19/2021","11/24/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1027"
"ADVIL DUAL ACTION WITH ACETAMINOPHEN","ACETAMINOPHEN; IBUPROFEN","211733","NDA","01/10/2022","01/13/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2574"
"ADVIL LIQUI-GELS","IBUPROFEN","020402","NDA","02/23/2023","02/27/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1222"
"ADVIL MIGRAINE LIQUI-GELS","IBUPROFEN","020402","NDA","01/25/2022","02/04/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1221"
"ADVIL PM","DIPHENHYDRAMINE HYDROCHLORIDE; IBUPROFEN","021393","NDA","01/11/2022","01/13/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2575"
"ADVIL PM","DIPHENHYDRAMINE CITRATE; IBUPROFEN","021394","NDA","02/21/2023","02/23/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=936"
"ADZENYS ER","AMPHETAMINE","204325","NDA","02/25/2022","03/02/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2589"
"ADZENYS XR-ODT","AMPHETAMINE","204326","NDA","10/13/2023","10/17/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=558"
"AEROSPAN HFA","FLUNISOLIDE","021247","NDA","04/25/2018","04/30/2018","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1116"
"AFINITOR","EVEROLIMUS","022334","NDA","02/01/2022","02/04/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=112"
"AFINITOR DISPERZ","EVEROLIMUS","203985","NDA","02/01/2022","02/04/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1526"
"AFREZZA","INSULIN RECOMBINANT HUMAN","022472","BLA","02/03/2023","02/06/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1290"
"AGAMREE","VAMOROLONE","215239","NDA","06/05/2024","06/07/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2969"
"AGGRASTAT","TIROFIBAN HYDROCHLORIDE","020912","NDA","05/16/2019","05/22/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1949"
"AGGRASTAT","TIROFIBAN HYDROCHLORIDE","020913","NDA","05/16/2019","05/22/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1950"
"AGGRENOX","ASPIRIN; DIPYRIDAMOLE","020884","NDA","05/13/2021","05/17/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1751"
"AGRYLIN","ANAGRELIDE HYDROCHLORIDE","020333","NDA","10/13/2021","10/15/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1490"
"AIMOVIG","ERENUMAB-AOOE","761077","BLA","10/03/2022","10/12/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1894"
"AIRDUO RESPICLICK","FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE","208799","NDA","07/09/2021","07/13/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1404"
"AJOVY","FREMANEZUMAB-VFRM","761089","BLA","09/24/2021","10/01/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2185"
"AKOVAZ","EPHEDRINE SULFATE","208289","NDA","04/08/2020","04/14/2020","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2230"
"AKTEN","LIDOCAINE HYDROCHLORIDE","022221","NDA","02/28/2022","03/02/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2592"
"AKYNZEO","FOSNETUPITANT CHLORIDE HYDROCHLORIDE; PALONOSETRON HYDROCHLORIDE","210493","NDA","06/02/2021","06/03/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2487"
"ALBENZA","ALBENDAZOLE","020666","NDA","07/11/2019","07/12/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1987"
"ALDACTAZIDE","HYDROCHLOROTHIAZIDE; SPIRONOLACTONE","012616","NDA","12/19/2022","12/21/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1850"
"ALDACTONE","SPIRONOLACTONE","012151","NDA","12/19/2022","12/22/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1470"
"ALDARA","IMIQUIMOD","020723","NDA","09/25/2024","09/30/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=3028"
"ALDURAZYME","LARONIDASE","125058","BLA","12/14/2023","12/20/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2132"
"ALECENSA","ALECTINIB HYDROCHLORIDE","208434","NDA","04/18/2024","04/22/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=530"
"ALESSE","ETHINYL ESTRADIOL; LEVONORGESTREL","020683","NDA","07/16/2024","07/22/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1191"
"ALEVE","NAPROXEN SODIUM","020204","NDA","03/10/2022","03/15/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1238"
"ALEVE PM","DIPHENHYDRAMINE HYDROCHLORIDE; NAPROXEN SODIUM","205352","NDA","02/08/2022","02/10/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1265"
"ALEVE-D SINUS & COLD","NAPROXEN SODIUM; PSEUDOEPHEDRINE HYDROCHLORIDE","021076","NDA","07/11/2023","07/18/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1319"
"ALFENTA","ALFENTANIL HYDROCHLORIDE","019353","NDA","12/15/2023","12/18/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=759"
"ALIMTA","PEMETREXED DISODIUM","021462","NDA","08/31/2022","09/01/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1302"
"ALINIA","NITAZOXANIDE","021497","NDA","12/16/2021","12/17/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=327"
"ALINIA","NITAZOXANIDE","021498","NDA","07/11/2016","08/30/2016","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=328"
"ALIQOPA","COPANLISIB DIHYDROCHLORIDE","209936","NDA","09/07/2023","09/08/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2096"
"ALKINDI SPRINKLE","HYDROCORTISONE","213876","NDA","06/05/2024","06/07/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2581"
"ALLEGRA","FEXOFENADINE HYDROCHLORIDE","021963","NDA","05/30/2019","06/04/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1965"
"ALLEGRA HIVES","FEXOFENADINE HYDROCHLORIDE","020872","NDA","10/13/2021","10/25/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2542"
"ALLI","ORLISTAT","021887","NDA","05/15/2017","05/18/2017","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=220"
"ALLOPURINOL","ALLOPURINOL","018832","NDA","04/03/2024","04/04/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2938"
"ALLOPURINOL","ALLOPURINOL","018877","NDA","04/03/2024","04/05/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2939"
"ALOPRIM","ALLOPURINOL SODIUM","020298","NDA","02/17/2022","02/22/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2321"
"ALORA","ESTRADIOL","020655","NDA","02/15/2024","02/20/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1327"
"ALOXI","PALONOSETRON HYDROCHLORIDE","021372","NDA","04/01/2020","04/03/2020","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2219"
"ALOXI","PALONOSETRON HYDROCHLORIDE","022233","NDA","04/01/2020","04/03/2020","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2220"
"ALTABAX","RETAPAMULIN","022055","NDA","09/10/2019","09/13/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2057"
"ALTACE","RAMIPRIL","019901","NDA","04/26/2017","04/29/2017","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1038"
"ALTOPREV","LOVASTATIN","021316","NDA","03/14/2024","03/18/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1174"
"ALUNBRIG","BRIGATINIB","208772","NDA","02/28/2022","03/03/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1810"
"ALVESCO","CICLESONIDE","021658","NDA","02/16/2023","02/22/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2731"
"AMARYL","GLIMEPIRIDE","020496","NDA","12/21/2018","01/02/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=629"
"AMBIEN","ZOLPIDEM TARTRATE","019908","NDA","02/23/2022","02/25/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=264"
