Drug,Application Number,Date,Boxed Warning,Contraindications,Warnings and Precautions,Adverse Reactions,Drug Interactions,Use in Specific Populations,PCI/PI/MG
ACTEMRA(BLA-125276),125276,09/19/2024,,,x,x,,,x
ACTEMRA(BLA-125276),125276,12/21/2022,,,x,x,,x,x
ACTEMRA(BLA-125276),125276,02/28/2022,,,,x,,,x
ACTEMRA(BLA-125276),125276,03/04/2021,,,x,x,,,x
ACTEMRA(BLA-125276),125276,06/11/2019,,,x,x,,,x
ACTEMRA(BLA-125276),125276,04/11/2019,,,x,x,,,
ACTEMRA(BLA-125276),125276,04/11/2019,,,x,x,,,
ACTEMRA(BLA-125276),125276,09/12/2018,,,,x,,x,
ACTEMRA(BLA-125276),125276,05/11/2018,,,,x,,x,
ACTEMRA(BLA-125276),125276,03/22/2018,,,,x,,,
ACTEMRA(BLA-125276),125276,08/30/2017,,,x,x,,x,x
ACTEMRA(BLA-125276),125276,05/22/2017,,,x,x,x,,x
ACTEMRA(BLA-125276),125276,09/23/2016,,,,x,,x,x
ACTEMRA(BLA-125472),125472,09/20/2024,,,x,x,,x,x
ACTEMRA(BLA-125472),125472,12/21/2022,,,x,x,,x,x
ACTEMRA(BLA-125472),125472,02/28/2022,,,,x,,,x
ACTEMRA(BLA-125472),125472,03/04/2021,,,x,,,,x
ACTEMRA(BLA-125472),125472,06/11/2019,,,x,x,,,x
ACTEMRA(BLA-125472),125472,04/11/2019,,,x,x,,,
ACTEMRA(BLA-125472),125472,09/12/2018,,,,x,,x,
ACTEMRA(BLA-125472),125472,05/11/2018,,,,x,,x,
ACTEMRA(BLA-125472),125472,03/22/2018,,,,x,,,
ACTEMRA(BLA-125472),125472,05/22/2017,,,x,x,x,,x
ACTEMRA(BLA-125472),125472,09/23/2016,,,,x,,x,x
ACTHAR GEL(NDA-008372),008372,02/29/2024,,,x,,,,x
ACTHAR GEL(NDA-008372),008372,10/29/2021,,,x,x,,x,x
ACTICLATE(NDA-205931),205931,12/26/2019,,,x,,,x,x
ACTICLATE(NDA-205931),205931,11/15/2017,,,x,x,,,
ACTICLATE CAP(NDA-208253),208253,12/26/2019,,,x,,,x,x
ACTICLATE CAP(NDA-208253),208253,11/15/2017,,,x,x,,,
ACTIGALL(NDA-019594),019594,07/19/2023,,,x,x,,,
ACTIQ(NDA-020747),020747,12/15/2023,x,,x,x,,x,x
ACTIQ(NDA-020747),020747,11/22/2022,,,,,,,x
ACTIQ(NDA-020747),020747,03/04/2021,x,,x,,x,,x
ACTIQ(NDA-020747),020747,10/07/2019,,,x,,x,,x
ACTIQ(NDA-020747),020747,12/16/2016,x,x,x,x,x,x,x
ACTIQ(NDA-020747),020747,12/16/2016,x,x,x,x,x,x,x
ACTIVASE(BLA-103172),103172,02/28/2018,,,x,x,,x,
ACTIVASE(BLA-103172),103172,06/30/2017,,,x,,,,
ACTIVELLA(NDA-020907),020907,02/15/2024,,,x,,,,
ACTIVELLA(NDA-020907),020907,08/10/2021,,x,x,x,x,x,x
ACTIVELLA(NDA-020907),020907,11/01/2017,,,x,,,,x
ACTONEL(NDA-020835),020835,11/05/2019,,,,,,x,x
ACTOPLUS MET(NDA-021842),021842,06/28/2024,,x,x,x,x,x,x
ACTOPLUS MET(NDA-021842),021842,12/21/2017,,,,x,x,,
ACTOPLUS MET(NDA-021842),021842,12/12/2016,,x,x,x,x,x,x
ACTOPLUS MET(NDA-021842),021842,12/12/2016,,,x,,,,
ACTOPLUS MET XR(NDA-022024),022024,12/21/2017,,,,x,x,,
ACTOPLUS MET XR(NDA-022024),022024,12/12/2016,,x,x,x,x,x,x
ACTOPLUS MET XR(NDA-022024),022024,12/12/2016,,,x,,,,
ACTOS(NDA-021073),021073,12/21/2017,,,,,x,,
ACTOS(NDA-021073),021073,12/12/2016,,,x,x,,x,x
ACULAR LS(NDA-021528),021528,03/05/2021,,x,x,x,,,x
ACULAR LS(NDA-021528),021528,05/25/2016,,,,x,,,
ACUVAIL(NDA-022427),022427,05/24/2024,,,x,x,,x,x
ACZONE(NDA-021794),021794,05/18/2018,,,,x,,x,x
ACZONE(NDA-207154),207154,09/10/2019,,,,,,x,
ACZONE(NDA-207154),207154,05/18/2018,,,,x,,x,
ADAKVEO(BLA-761128),761128,06/26/2024,,,x,x,,x,x
ADAKVEO(BLA-761128),761128,07/12/2021,,,x,x,,,x
ADASUVE(NDA-022549),022549,10/27/2021,,,,,,x,x
ADASUVE(NDA-022549),022549,02/23/2017,,,x,x,,,
ADASUVE(NDA-022549),022549,09/28/2016,x,,x,,,,
ADCETRIS(BLA-125388),125388,06/14/2023,,,x,,,x,x
ADCETRIS(BLA-125388),125388,11/10/2022,,,x,x,,x,
ADCETRIS(BLA-125388),125388,10/15/2019,,,x,x,,,x
ADCETRIS(BLA-125388),125388,11/16/2018,,,x,x,,x,
ADCETRIS(BLA-125388),125388,03/20/2018,,,x,x,,x,
ADCETRIS(BLA-125388),125388,11/09/2017,,,x,x,,x,
ADCETRIS(BLA-125388),125388,09/28/2016,,,,,,x,
ADCETRIS(BLA-125388),125388,03/04/2016,,,x,,,,
ADCIRCA(NDA-022332),022332,09/15/2020,,x,x,,,x,x
ADCIRCA(NDA-022332),022332,05/05/2017,,,x,x,,,x
ADDERALL 10(NDA-011522),011522,10/13/2023,x,,x,x,,,x
ADDERALL 10(NDA-011522),011522,02/25/2022,,,,x,,,
ADDERALL 10(NDA-011522),011522,01/04/2017,,x,x,,x,,x
ADDERALL 12.5(NDA-011522),011522,10/13/2023,x,,x,x,,,x
ADDERALL 12.5(NDA-011522),011522,02/25/2022,,,,x,,,
ADDERALL 12.5(NDA-011522),011522,01/04/2017,,x,x,,x,,x
ADDERALL 15(NDA-011522),011522,10/13/2023,x,,x,x,,,x
ADDERALL 15(NDA-011522),011522,02/25/2022,,,,x,,,
ADDERALL 15(NDA-011522),011522,01/04/2017,,x,x,,x,,x
ADDERALL 20(NDA-011522),011522,10/13/2023,x,,x,x,,,x
ADDERALL 20(NDA-011522),011522,02/25/2022,,,,x,,,
ADDERALL 20(NDA-011522),011522,01/04/2017,,x,x,,x,,x
ADDERALL 30(NDA-011522),011522,10/13/2023,x,,x,x,,,x
ADDERALL 30(NDA-011522),011522,02/25/2022,,,,x,,,
ADDERALL 30(NDA-011522),011522,01/04/2017,,x,x,,x,,x
ADDERALL 5(NDA-011522),011522,10/13/2023,x,,x,x,,,x
ADDERALL 5(NDA-011522),011522,02/25/2022,,,,x,,,
ADDERALL 5(NDA-011522),011522,01/04/2017,,,x,,x,,x
ADDERALL 7.5(NDA-011522),011522,10/13/2023,x,,x,x,,,x
ADDERALL 7.5(NDA-011522),011522,02/25/2022,,,,x,,,
ADDERALL 7.5(NDA-011522),011522,01/04/2017,,x,x,,x,,x
ADDERALL XR 10(NDA-021303),021303,10/13/2023,x,,x,x,x,,x
ADDERALL XR 10(NDA-021303),021303,02/25/2022,,,,x,,,
ADDERALL XR 10(NDA-021303),021303,07/03/2019,,,x,x,,x,x
ADDERALL XR 10(NDA-021303),021303,07/16/2018,,,,,,x,x
ADDERALL XR 10(NDA-021303),021303,01/06/2017,,x,x,,x,,x
ADDYI(NDA-022526),022526,09/29/2021,,x,x,x,,,
ADDYI(NDA-022526),022526,10/09/2019,x,,x,x,x,,x
ADDYI(NDA-022526),022526,10/09/2019,,,,,,,x
ADEMPAS(NDA-204819),204819,09/10/2021,,x,,,x,,x
ADEMPAS(NDA-204819),204819,01/11/2018,,x,x,,,x,x
ADEMPAS(NDA-204819),204819,01/17/2017,,x,,,x,,x
ADHANSIA XR(NDA-212038),212038,06/25/2021,,,,,x,,
ADHANSIA XR(NDA-212038),212038,07/03/2019,,,,x,,,x
ADLYXIN(BLA-208471),208471,11/01/2024,,,x,x,,,x
ADLYXIN(BLA-208471),208471,09/28/2023,,,,x,,,
ADLYXIN(BLA-208471),208471,06/10/2022,,,x,x,,,x
ADLYXIN(BLA-208471),208471,07/30/2021,,x,x,x,,,x
ADMELOG(BLA-209196),209196,08/31/2023,,x,x,x,,x,x
ADMELOG(BLA-209196),209196,11/15/2019,,,x,x,,,x
ADMELOG(BLA-209196),209196,11/01/2018,,,,,,,
ADMELOG SOLOSTAR(BLA-209196),209196,11/15/2019,,,x,x,,,x
ADRENACLICK(NDA-020800),020800,02/04/2021,,,,x,x,x,x
ADRENACLICK(NDA-020800),020800,08/29/2018,,,,x,,,
ADRENACLICK(NDA-020800),020800,05/18/2016,,,x,x,,,
ADRENALIN(NDA-204200),204200,01/29/2019,,,x,,x,x,
ADRENALIN(NDA-204200),204200,08/09/2017,,,,x,,,
ADRENALIN(NDA-204200),204200,05/18/2016,,,x,x,,,
ADRENALIN(NDA-204640),204640,01/29/2019,,,x,,x,x,
ADRENALIN(NDA-204640),204640,08/09/2017,,,,x,,,
ADRENALIN(NDA-204640),204640,05/18/2016,,,x,x,,,
ADREVIEW(NDA-022290),022290,03/05/2020,,,x,,,x,x
ADUHELM(BLA-761178),761178,08/30/2023,x,,x,,,,x
ADUHELM(BLA-761178),761178,02/08/2023,,,x,x,,x,x
ADUHELM(BLA-761178),761178,04/29/2022,,,x,,,,x
ADVAIR DISKUS 100/50(NDA-021077),021077,01/07/2019,,,x,,,x,x
ADVAIR DISKUS 100/50(NDA-021077),021077,12/20/2017,,x,x,x,,x,x
ADVAIR DISKUS 100/50(NDA-021077),021077,12/20/2017,,x,x,x,,x,x
ADVAIR DISKUS 100/50(NDA-021077),021077,02/28/2017,,,x,,,,
ADVAIR DISKUS 250/50(NDA-021077),021077,01/07/2019,,,x,,,x,x
ADVAIR DISKUS 250/50(NDA-021077),021077,12/20/2017,,x,x,x,,x,x
ADVAIR DISKUS 250/50(NDA-021077),021077,12/20/2017,,x,x,,,x,x
ADVAIR DISKUS 250/50(NDA-021077),021077,02/28/2017,,,x,,,,
ADVAIR DISKUS 500/50(NDA-021077),021077,01/07/2019,,,x,,,x,x
ADVAIR DISKUS 500/50(NDA-021077),021077,12/20/2017,,x,x,x,,x,x
ADVAIR DISKUS 500/50(NDA-021077),021077,12/20/2017,,x,x,x,,x,x
ADVAIR DISKUS 500/50(NDA-021077),021077,02/28/2017,,,x,,,,
ADVAIR HFA(NDA-021254),021254,01/07/2019,,,x,,,x,x
ADVAIR HFA(NDA-021254),021254,12/20/2017,,,x,x,,,x
ADVAIR HFA(NDA-021254),021254,02/28/2017,,,x,,,,x
ADVIL(NDA-018989),018989,12/14/2021,,,x,,,,
ADVIL(NDA-018989),018989,08/23/2017,,,x,,,,
ADVIL(NDA-201803),201803,02/08/2022,,,x,,,,
ADVIL(NDA-201803),201803,06/12/2017,,,x,,,,
ADVIL ALLERGY AND CONGESTION RELIEF(NDA-022113),022113,11/23/2021,,,x,,,,
ADVIL ALLERGY AND CONGESTION RELIEF(NDA-022113),022113,03/24/2017,,,x,,,,
ADVIL ALLERGY SINUS(NDA-021441),021441,11/23/2021,,,x,,,,
ADVIL ALLERGY SINUS(NDA-021441),021441,03/24/2017,,,x,,,,
ADVIL COLD AND SINUS(NDA-019771),019771,11/19/2021,,,x,,,,
ADVIL COLD AND SINUS(NDA-019771),019771,03/23/2017,,,x,,,,
ADVIL COLD AND SINUS(NDA-021374),021374,11/19/2021,,,x,,,,
ADVIL COLD AND SINUS(NDA-021374),021374,03/24/2017,,,x,,,,
ADVIL CONGESTION RELIEF(NDA-022565),022565,11/19/2021,,,x,,,,
ADVIL CONGESTION RELIEF(NDA-022565),022565,03/24/2017,,,x,,,,
ADVIL DUAL ACTION WITH ACETAMINOPHEN(NDA-211733),211733,01/10/2022,,,x,,,,
ADVIL LIQUI-GELS(NDA-020402),020402,02/23/2023,,,x,,,,
ADVIL LIQUI-GELS(NDA-020402),020402,01/25/2022,,,x,,,,
ADVIL LIQUI-GELS(NDA-020402),020402,08/08/2017,,,x,,,,
ADVIL MIGRAINE LIQUI-GELS(NDA-020402),020402,01/25/2022,,,x,,,,
ADVIL MIGRAINE LIQUI-GELS(NDA-020402),020402,08/08/2017,,,x,,,,
ADVIL PM(NDA-021393),021393,01/11/2022,,,x,,,,
ADVIL PM(NDA-021394),021394,02/21/2023,,,x,,,,
ADVIL PM(NDA-021394),021394,01/10/2022,,,x,,,,
ADVIL PM(NDA-021394),021394,03/30/2017,,,x,,,,
ADZENYS ER(NDA-204325),204325,02/25/2022,,,,x,,,
ADZENYS XR-ODT(NDA-204326),204326,10/13/2023,x,,x,x,,,x
ADZENYS XR-ODT(NDA-204326),204326,02/25/2022,,,,x,,,
ADZENYS XR-ODT(NDA-204326),204326,01/04/2017,,x,x,x,,,x
ADZENYS XR-ODT(NDA-204326),204326,01/28/2016,,,,,,,x
AEROSPAN HFA(NDA-021247),021247,04/25/2018,,,,,,x,
AEROSPAN HFA(NDA-021247),021247,06/23/2017,,,,,,,x
AFINITOR(NDA-022334),022334,02/01/2022,,,,x,,,
AFINITOR(NDA-022334),022334,04/16/2021,,,x,x,,,x
AFINITOR(NDA-022334),022334,02/13/2020,,,x,,,,x
AFINITOR(NDA-022334),022334,01/22/2020,,,,x,,,
AFINITOR(NDA-022334),022334,04/10/2018,,x,x,x,x,x,x
AFINITOR(NDA-022334),022334,09/26/2017,,,x,x,,x,x
AFINITOR(NDA-022334),022334,06/14/2016,,,x,x,,,
AFINITOR DISPERZ(NDA-203985),203985,02/01/2022,,,,x,,,
AFINITOR DISPERZ(NDA-203985),203985,04/16/2021,,,x,x,,,x
AFINITOR DISPERZ(NDA-203985),203985,02/13/2020,,,x,,,,x
AFINITOR DISPERZ(NDA-203985),203985,01/22/2020,,,,x,,,
AFINITOR DISPERZ(NDA-203985),203985,04/10/2018,,x,x,x,x,x,x
AFREZZA(BLA-022472),022472,02/03/2023,,,x,x,,x,x
AFREZZA(BLA-022472),022472,10/25/2018,,,x,x,,,
AFREZZA(BLA-022472),022472,09/29/2017,,,,x,,x,x
AGAMREE(NDA-215239),215239,06/05/2024,,,x,,,,
AGGRASTAT(NDA-020912),020912,05/16/2019,,,,,,x,
AGGRASTAT(NDA-020913),020913,05/16/2019,,,,,,x,
AGGRENOX(NDA-020884),020884,05/13/2021,,,,x,,,
AGGRENOX(NDA-020884),020884,12/11/2019,,,x,,x,,x
AGGRENOX(NDA-020884),020884,11/09/2018,,,x,x,,x,x
AGRYLIN(NDA-020333),020333,10/13/2021,,,,x,,,
AGRYLIN(NDA-020333),020333,02/28/2020,,,,x,,,
AGRYLIN(NDA-020333),020333,12/19/2018,,,,,,x,x
AGRYLIN(NDA-020333),020333,03/20/2018,,,x,x,,,x
AIMOVIG(BLA-761077),761077,10/03/2022,,,,x,,x,
AIMOVIG(BLA-761077),761077,05/11/2021,,,,x,,,
AIMOVIG(BLA-761077),761077,02/03/2021,,,,,,,x
AIMOVIG(BLA-761077),761077,04/30/2020,,,x,x,,,x
AIMOVIG(BLA-761077),761077,10/04/2019,,,x,x,,,x
AIMOVIG(BLA-761077),761077,03/11/2019,,x,x,x,,x,x
AIRDUO RESPICLICK(NDA-208799),208799,07/09/2021,,,x,x,,x,x
AIRDUO RESPICLICK(NDA-208799),208799,02/21/2020,,,,,,x,x
AIRDUO RESPICLICK(NDA-208799),208799,03/02/2018,,,,x,,,
AIRDUO RESPICLICK(NDA-208799),208799,12/20/2017,,,x,x,,,x
AJOVY(BLA-761089),761089,09/24/2021,,x,x,x,,x,x
AJOVY(BLA-761089),761089,01/27/2020,,,,,,x,x
AKOVAZ(NDA-208289),208289,04/08/2020,,,,,,x,
AKTEN(NDA-022221),022221,02/28/2022,,,x,,,,
AKYNZEO(NDA-210493),210493,06/02/2021,,,,,,,x
ALBENZA(NDA-020666),020666,07/11/2019,,,x,,,x,x
ALDACTAZIDE(NDA-012616),012616,12/19/2022,,,x,,,,
ALDACTAZIDE(NDA-012616),012616,02/19/2021,,,x,,,,
ALDACTAZIDE(NDA-012616),012616,08/20/2020,,,x,x,,,
ALDACTAZIDE(NDA-012616),012616,01/17/2019,,,,,x,,
ALDACTONE(NDA-012151),012151,12/19/2022,,,,,x,,
ALDACTONE(NDA-012151),012151,03/06/2018,,,,x,x,x,
ALDARA(NDA-020723),020723,09/25/2024,,,x,x,,x,x
ALDURAZYME(BLA-125058),125058,12/14/2023,x,,x,x,,x,x
ALDURAZYME(BLA-125058),125058,12/04/2019,,,,x,,x,x
ALECENSA(NDA-208434),208434,04/18/2024,,,x,x,,x,x
ALECENSA(NDA-208434),208434,09/03/2021,,,x,x,,,x
ALECENSA(NDA-208434),208434,06/05/2018,,,,,,x,
ALECENSA(NDA-208434),208434,11/06/2017,,,x,x,,,x
ALECENSA(NDA-208434),208434,11/04/2016,,,x,,,,x
ALESSE(NDA-020683),020683,07/16/2024,x,x,x,x,,,x
ALESSE(NDA-020683),020683,04/29/2022,,x,x,x,,,x
ALESSE(NDA-020683),020683,08/09/2017,,x,x,,x,,x
ALEVE(NDA-020204),020204,03/10/2022,,,x,,,,
ALEVE(NDA-020204),020204,04/23/2020,,,x,,,,
ALEVE(NDA-020204),020204,01/03/2019,,,x,,,,
ALEVE(NDA-020204),020204,09/14/2017,,,x,,,,
ALEVE(NDA-020204),020204,08/22/2017,,,x,,,,
ALEVE PM(NDA-205352),205352,02/08/2022,,,x,,,,
ALEVE PM(NDA-205352),205352,04/06/2020,,,x,,,,
ALEVE PM(NDA-205352),205352,09/12/2017,,,x,,,,
ALEVE-D SINUS & COLD(NDA-021076),021076,07/11/2023,,,x,,,,
ALEVE-D SINUS & COLD(NDA-021076),021076,03/02/2022,,,x,,,,
ALEVE-D SINUS & COLD(NDA-021076),021076,04/06/2020,,,x,,,,
ALEVE-D SINUS & COLD(NDA-021076),021076,09/12/2017,,,x,,,,
ALFENTA(NDA-019353),019353,12/15/2023,x,,x,x,,x,x
ALFENTA(NDA-019353),019353,10/07/2019,,,x,,x,,
ALFENTA(NDA-019353),019353,12/16/2016,x,x,x,x,x,x,
ALIMTA(NDA-021462),021462,08/31/2022,,,x,,,x,x
ALIMTA(NDA-021462),021462,01/30/2019,,,,x,,,
ALIMTA(NDA-021462),021462,06/04/2018,,,,x,,,
ALIMTA(NDA-021462),021462,10/11/2017,,,x,x,x,x,x
ALINIA(NDA-021497),021497,12/16/2021,,,,,,x,
ALINIA(NDA-021497),021497,07/11/2016,,,,x,x,x,x
ALINIA(NDA-021498),021498,07/11/2016,,,,x,x,x,x
ALIQOPA(NDA-209936),209936,09/07/2023,,,x,,,,x
ALIQOPA(NDA-209936),209936,02/23/2022,,,,,,x,
ALIQOPA(NDA-209936),209936,10/28/2019,,,,,x,,
ALKINDI SPRINKLE(NDA-213876),213876,06/05/2024,,,x,x,,,x
ALKINDI SPRINKLE(NDA-213876),213876,12/23/2022,,,,,,,x
ALKINDI SPRINKLE(NDA-213876),213876,02/03/2022,,,x,,,,x
ALLEGRA(NDA-021963),021963,05/30/2019,,,,,,x,
ALLEGRA HIVES(NDA-020872),020872,10/13/2021,,,x,,,,
ALLI(NDA-021887),021887,05/15/2017,,,x,,,,
ALLI(NDA-021887),021887,05/25/2016,,,x,,,,
ALLOPURINOL(NDA-018832),018832,04/03/2024,,,x,,,,
ALLOPURINOL(NDA-018832),018832,04/03/2024,,,x,,,,
ALLOPURINOL(NDA-018832),018832,04/03/2024,,,,,,x,
ALLOPURINOL(NDA-018877),018877,04/03/2024,,,x,,,,
ALLOPURINOL(NDA-018877),018877,04/03/2024,,,x,,,,
ALLOPURINOL(NDA-018877),018877,04/03/2024,,,,,,x,
ALOPRIM(NDA-020298),020298,02/17/2022,,x,x,x,x,x,x
ALOPRIM(NDA-020298),020298,08/28/2020,,,x,,,,
ALORA(NDA-020655),020655,02/15/2024,,,x,,,,
ALORA(NDA-020655),020655,11/01/2017,,,x,,,,x
ALOXI(NDA-021372),021372,04/01/2020,,x,x,x,x,x,x
ALOXI(NDA-022233),022233,04/01/2020,,x,x,x,x,x,x
ALTABAX(NDA-022055),022055,09/10/2019,,,,x,,x,
ALTACE(NDA-019901),019901,04/26/2017,,x,x,,x,,
ALTOPREV(NDA-021316),021316,03/14/2024,,x,x,x,x,x,x
ALTOPREV(NDA-021316),021316,09/25/2020,,,x,,,,
ALTOPREV(NDA-021316),021316,02/28/2018,,x,,,x,x,x
ALTOPREV(NDA-021316),021316,08/04/2017,,,,x,x,,
ALUNBRIG(NDA-208772),208772,02/28/2022,,,x,x,,,x
ALUNBRIG(NDA-208772),208772,09/24/2021,,,x,x,,,x
ALUNBRIG(NDA-208772),208772,05/22/2020,,,x,x,,x,x
ALUNBRIG(NDA-208772),208772,12/21/2018,,,,,x,x,
ALVESCO(NDA-021658),021658,02/16/2023,,,x,x,,x,x
AMARYL(NDA-020496),020496,12/21/2018,,,,,,x,x
AMARYL(NDA-020496),020496,12/19/2016,,,,x,,,
AMBIEN(NDA-019908),019908,02/23/2022,,,x,,,,x
AMBIEN(NDA-019908),019908,02/23/2022,,,,,,,x
AMBIEN(NDA-019908),019908,02/23/2022,,,x,x,,,x
AMBIEN(NDA-019908),019908,08/18/2019,x,x,x,x,x,,x
AMBIEN(NDA-019908),019908,02/06/2019,,,x,,,,x
AMBIEN(NDA-019908),019908,09/14/2018,,,,,,x,x
AMBIEN(NDA-019908),019908,03/03/2017,,,,,x,,
AMBIEN(NDA-019908),019908,12/02/2016,,,x,x,,x,
AMBIEN(NDA-019908),019908,08/11/2016,,,x,,x,,
AMBIEN CR(NDA-021774),021774,02/23/2022,,,x,,,,x
AMBIEN CR(NDA-021774),021774,02/23/2022,,,,,,,x
AMBIEN CR(NDA-021774),021774,02/23/2022,,,x,x,,,x
AMBIEN CR(NDA-021774),021774,08/18/2019,x,x,x,x,x,,x
AMBIEN CR(NDA-021774),021774,02/06/2019,,,x,,,,x
AMBIEN CR(NDA-021774),021774,09/14/2018,,,,,,x,x
AMBIEN CR(NDA-021774),021774,03/03/2017,,,,,x,,
AMBIEN CR(NDA-021774),021774,12/02/2016,,,x,x,,x,
AMBIEN CR(NDA-021774),021774,08/11/2016,,,x,,x,,
AMELUZ(NDA-208081),208081,10/04/2024,,,x,x,,,
AMELUZ(NDA-208081),208081,05/25/2021,,,x,x,,,x
AMELUZ(NDA-208081),208081,09/06/2017,,,x,x,,,x
AMERGE(NDA-020763),020763,11/29/2016,,,,,,x,x
AMIDATE(NDA-018227),018227,04/27/2017,,,x,,,x,x
AMITIZA(NDA-021908),021908,11/30/2020,,,,,,x,
AMITIZA(NDA-021908),021908,04/26/2018,,,,,,x,
AMITIZA(NDA-021908),021908,10/11/2016,,,x,x,,,x
AMJEVITA(BLA-761024),761024,08/20/2024,,,,x,,,
AMJEVITA(BLA-761024),761024,07/12/2023,,,x,x,,,x
